artist,featured_text,img_url,data_caption,clean_title,LB_web_artist_url,code,path_to_original_image
zineb-sedira,"Zineb Sedira presented a set of prints and sculptures from her Sugar Routes (2013) series at Open Eye Gallery. Sedira’s works recount the history of transoceanic human migration, the triangular trade routes of the eighteenth and nineteenth centuries and the continued trade of sugar across the Atlantic for mass consumption. Working in a contemporary context, Sedira’s photographic prints depict sugar extracted from different parts of the world housed in a modern warehouse in the French port city of Marseille. The mountainous piles of sugar present a landscape of extraction where multiple geographies convene and merge with one another; the warehouse becoming an in-between space of encounter before the sugar is processed for consumption. Juxtaposed a sculpture of an anchor made from cane sugar found in the French silo, the works act as a metaphor for migration and diaspora.The series was originally commissioned by Marseille Provence 2013, European Capital of Culture and the Port of Marseille.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1378/zineb_sedira-_sugar_routes_i-_2013-1.jpg,"Zineb Sedira, Sugar Routes (series), 2013–2014. Installation view at Open Eye Gallery, Liverpool Biennial 2021. Photography: Rob Battersby",Sugar Routes,www.liverpoolbiennial2021.com/artists/zineb-sedira,1378,datasets/liverpool_biennial_2021/original_images/images_part_3/Sugar_Routes.jpg
zheng-bo,"Zheng Bo presented a new commission, the fifth of his Pteridophilia series (2016-ongoing), alongside Pteridophilia 1 to 4 at FACT Liverpool. His ongoing film series connects queer plants and queer people, pushing the boundaries of sexuality and love to incorporate the natural world. Zheng Bo’s work is informed by queer ecology, which rejects nature being positioned as existing in binary states – for example, human or non-human, natural or unnatural. Interested in moving beyond human exceptionalism, Zheng Bo situates communities of people and plants as subjects in his films, depicting scenes of physical intimacy between them. Reflecting on the idea of the body as a fluid organism that is continuously shaped by and shaping its environment, Zheng Bo’s work destabilises identity and gender categories, further re-interpreting the relationship between ecology and human sexuality. The film series also raises questions about the complex relationship between terrain and nationality – and how the conquest of countries, land and nature have historically been heteronormative endeavours.Supported by Edouard Malingue Gallery.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1401/zheng_bo-_pteridophilia_2_film_still_-_2018-1.jpg,"Zheng Bo, Pteridophilia (series: 1–5), 2016–2021. Installation view at FACT, Liverpool Biennial 2021. Photography: Rob Battersby",Pteridophilia,www.liverpoolbiennial2021.com/artists/zheng-bo,1401,datasets/liverpool_biennial_2021/original_images/images_part_3/Pteridophilia.jpg
jenna-sutela,"Jenna Sutela presented an audio work titled nnother (2021), together with Elvia Wilk, at the Lewis’s Building, as well an iteration of her ongoing series I Magma (2019-ongoing) at Lush Building. All about symbiosis, nnother deals with the topic of gestation. It presents a conversation between imaginary organisms with both organic and synthetic attributes, one of whom lives inside the other. In addition to the sound piece, Sutela’s neuroplastic sculptural portrait Indigo, Orange and Plum Matter (I Magma cycle) (2021) explores the psychedelic history of technology as well as the topic of wetware, a computer-related idea applying to biological life forms. The three “lava head” glass sculptures, in the shape of the artist’s head, are filled with blobs of liquid and colour in motion. In rotation, they project a light show on the walls in the space. The work celebrates both the fluids and symbionts within us as well as the larger ecosystem that they, and we, interact with and depend upon.nnother is co-authored with the writer Elvia Wilk and co-commissioned by Liverpool Biennial and Science Gallery London, part of King's College. Voice by Colin Self. Jenna Sutela's participation at Liverpool Biennial 2021 is supported by Finnish Institute in the UK and Ireland and Frame Foundation. Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1392/lb2021_211.jpg,"Jenna Sutela, Indigo, Orange and Plum Matter (I Magma cycle), 2021. Installation view at Lush Building, Liverpool Biennial 2021. Photography: Stuart Whipps","Indigo, Orange and Plum Matter (I Magma cycle)",www.liverpoolbiennial2021.com/artists/jenna-sutela,1392,"datasets/liverpool_biennial_2021/original_images/images_part_3/Indigo,_Orange_and_Plum_Matter_(I_Magma_cycle).jpg"
andre-romao,"André Romão presented six sculptural pieces at Bluecoat. Romão’s sculptures capture moments of transformation between humans, animals, minerals and plants, as well as organic and abstract entities. Each sculpture raises questions about the overlapping of human life and nature. Armour (2019) shows a form as tall as the human body coated in mussels.Testa (2019) is an Italian antique sculpture encrusted with quartz crystals. Pierna izquierda (2019) is a sculptural fragment taking the form of an animalistic limb crafted from wood. In Generator (2019), the fuel of an electric generator is replaced with bright yellow acacia pollen which are seen emerging from the machine – evoking the queerness and sexuality of nature. Moonrise (2019), a large suspended blue Plexiglass disk, evoking a night where normal interactions between bodies and entities are suspended. Heavy Foot (2020) depicts a plant emerging from a life-sized foot made from a bronze cast. Metamorphic and uncanny, Romão’s collection of works challenge and transcend human-centric ways of thinking by embodying ideas of mutation.Supported by Calouste Gulbenkian Foundation.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1374/lb2021_359.jpg,"André Romão, Testa, 2019. Installation view at Bluecoat, Liverpool Biennial 2021. Photography: Stuart Whipps",Testa,www.liverpoolbiennial2021.com/artists/andre-romao,1374,datasets/liverpool_biennial_2021/original_images/images_part_3/Testa.jpg
kathleen-ryan,"Kathleen Ryan presented large-scale sculptural works at Bluecoat and The Lewis’s Building. Taking inspiration from the natural world, the sculptures engage with the complexity of object histories, the circulation of objects and their relationships with nature. The seven-and-a-half-feet-tall iron structure titled Mother of Pearl (2019) alludes to the form of a furnace – a facilitator of industry which is dependent on natural materials for fuel – it is figurative and infinite in shape, its rusty exterior contrasted by a smooth abalone shell interior.Select sculptures from Ryan's 'Bad Fruit' series, Bad Lemon (Slice) (2020), Bad Cherries (Legs) (2020) and Bad Peach (Cheeky) (2020), are still on display at Bluecoat until September. Combining both found and forged elements, Ryan’s sculptures negotiate the organic and the mechanic, acting as reminders of extraction.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1376/kathleen_ryan-_bad_fruit_series_-_2020__installation_view_at_bluecoat-_liverpool_biennial_2021__documented-_bad_lemon_slic-1.jpg,"Kathleen Ryan, Bad Fruit (series), 2020. Installation view at Bluecoat, Liverpool Biennial 2021. Photography: Rob Battersby",Bad Fruit,www.liverpoolbiennial2021.com/artists/kathleen-ryan,1376,datasets/liverpool_biennial_2021/original_images/images_part_3/Bad_Fruit.jpg
ebony-g-patterson,"Ebony G. Patterson presented hand embellished textile works at Tate Liverpool, including ...fraught...for those who bear/bare witness (2018), as well as new floor work, ... when the cry takes root ... (2021). Patterson considers gardens as a space of both beauty and burial, filled with fleeting aesthetics and mourning. They serve as a “postcolonial” symbol of the past that is never fully buried and barely visible. Patterson’s works further reflect on her interest in the disenfranchised communities of today – particularly of the working class. The objects and materials, each with its own narrative, are assembled together to create a new meaning – yet there is a sense of fragility as they barely hang onto each other. Against the floral backdrop, the objects and figures on the ground-level epitomize images of death – of the bodies that have fallen to the ground. Patterson’s gardens are never far from notions of violence, of memorial, of blood and tears.The new work is commissioned by Liverpool Biennial with support from VIA Art Fund, Monique Meloche Gallery Chicago, and Rodney Miller.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1365/tate-7.jpg,"Ebony G. Patterson, ...fraught...for those who bear bare witness, 2018. Installation view at Tate Liverpool, Liverpool Biennial 2021. Photography: Ben Nuttall",fraught for those who bear bare witness,www.liverpoolbiennial2021.com/artists/ebony-g-patterson,1365,datasets/liverpool_biennial_2021/original_images/images_part_3/fraught_for_those_who_bear_bare_witness.jpg
ligia-lewis,"As part of the Liverpool Biennial Live Weekend (19 – 20 June), Ligia Lewis presented the documented dance performance Deader than Dead (2020).Ligia Lewis conceived and directed deader than dead in 2020 as an intrigue-based inquiry into deadpan, an impassive mannerism deployed in comedic fashion in order to illustrate emotional distance. The dancers perform to Macbeth’s culminating soliloquy (“Tomorrow, and tomorrow, and tomorrow,” a reflection on repetition and meaninglessness), which unfolds through the work in modular parts, each one an illustration or parody of death, stasis, and the void, each one tied to its own carefully selected soundtrack or sample. Full of play and comedic tropes, the work is also a meditation on “playing,” or acting, as well as on tragedy’s recurring cycles and familiarity within Black and brown experience; on time, as it loops; on performance; on touch, as an act of both care and violence. Built in the form of a musical lament, it is a protracted complaint performed ad infinitum, decomposing itself along the way.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1346/deader_than_dead_photo1a_ligia_lewis.jpg,"Ligia Lewis, deader than dead (film still), 2020. Mixed-media performance documented on HD video, colour, sound. 19:39 min. Courtesy of the artist",deader than dead,www.liverpoolbiennial2021.com/artists/ligia-lewis,1346,datasets/liverpool_biennial_2021/original_images/images_part_2/deader_than_dead.jpg
jutta-koether,"Jutta Koether presented a new series of paintings at Tate Liverpool. Deeply rooted in European tradition, Koether’s painting constantly confronts the conditions of its own production as a site of reflection on the act of looking and the different perspectives this act raises according to who is looking, how and when. Koether accentuates a counter-history to the male-dominated canons of art history, claiming a space usually occupied by male painters with her grotesque and guttural works. The red palette of her paintings is deceivingly calm as Koether’s subject and method are both forms of resistance.Commissioned by Liverpool Biennial with support from Galerie Buchholz, Berlin/Cologne/New York and Institutfür Auslandsbeziehungen.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1341/lb2021_252.jpg,"Jutta Koether at Tate Liverpool, Liverpool Biennial 2021. Installation view. Documented: Femme Colonne #1, 2020. Pink Ladies #4, 2020. Photography: Stuart Whipps",Femme Colonne,www.liverpoolbiennial2021.com/artists/jutta-koether,1341,datasets/liverpool_biennial_2021/original_images/images_part_2/Femme_Colonne.jpg
luo-jr-shin,"Luo Jr-shin presented site-specific installation Like a filter, matters passed through you and became a part of you (2021) at The Lewis’s Building. As a continuation of his previous project Like a Urinal in a Nightclub, From Some Golden Liquid Turning into Another (2018), Luo’s set is a nightclub toilet – which is treated as a metaphorical facilitator for material transformation. Like a closed circuit, the installation shifts between a toilet and a nightclub, highlighting the cyclical drinking-urinating behaviour of the human body. Surrogate fluid made from ingredients found in beer coats the floor in the space – a familiar sensation underfoot for clubgoers, which transports the visitor to a certain mood, place or time. Luo’s work also highlights the fluidity of a nightclub toilet in terms of its ambiguity of public and private space, and the exchanging of substance and information – as well as its rigidness in reinforcing binary gender norms.Supported by Ministry of Culture Taiwan (Republic of China).Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1355/full_size_liverpool_biennial_2021_-press_biennial_2021_c_rob_battersby_11-1.jpg,"Luo Jr-Shin, Like a filter, matters passed through you and became a part of you, 2021. Installation view at Lewis's Building, Liverpool Biennial 2021. Photography: Rob Battersby","Like a filter, matters passed through you and became a part of you",www.liverpoolbiennial2021.com/artists/luo-jr-shin,1355,"datasets/liverpool_biennial_2021/original_images/images_part_2/Like_a_filter,_matters_passed_through_you_and_became_a_part_of_you.jpg"
camille-henrot,"Camille Henrot presented a set of newly commissioned sculptures and paintings from her Wet Job (2020-21) series at The Lewis’s Building. In these works, Henrot makes use of the familiar art-historical trope of the mother and child in order to foreground obscured aspects of motherhood and their reflections in society at large. The overriding theme of alienation is crystallized in the figure of the woman expressing milk with a breast pump. By operating on the body as a field of action rather than of identity, the breast pump construes the machine as a model for thinking about the body. It amplifies the shame of animal excess (leaking breasts), of performing alone what should be done with another (like with masturbation), and of requiring the supplementary aid of a machine in the first place. Henrot resists the reduction of motherhood’s embedded subjectivity to biology, as is often done to deprive women’s voices, and provides an intriguing view of alienation in the name of liquidity and consumption.Commissioned by Liverpool Biennial, supported by kamel mennour, Paris/London; Metro Pictures, New York; and König Galerie, Berlin/London/Tokyo. With additional support from Fluxus Art Projects.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1316/camille_henrot_at_lewiss_building-_liverpool_biennial_2021__installation_view__photography_rob_battersby-2.jpg,"Camille Henrot at Lewis's Building, Liverpool Biennial 2021. Installation view. Photography: Rob Battersby",Wet Job,www.liverpoolbiennial2021.com/artists/camille-henrot,1316,datasets/liverpool_biennial_2021/original_images/images_part_2/Wet_Job.jpg
